Celebrity,Known for,Age,Celebrity_BAME,Professional,Series,Place,Dances,Best score,Worst score,Aggregate,Average
Jason Wood,Comedian,32,0,Kylie Jones,1,8th/8,2,21,19,40,20
David Dickinson,TV presenter,62,0,Camilla Dallerup,1,7th/8,3,21,16,57,19
Verona Joseph,Actress,30,1,Paul Killick,1,6th/8,4,27,24,99,24.75
Claire Sweeney,Actress & TV presenter,33,0,John Byrnes,1,5th/8,5,34,26,150,30
Martin Offiah,Rugby player,37,1,Erin Boag,1,4th/8,7,25,21,161,23
Lesley Garrett,Singer,49,0,Anton du Beke,1,3rd/8,9,34,26,264,29.33
Chris Parker,Actor,20,0,Hanna Karttunen,1,2nd/8,12,28,15,241,20.08
Natasha Kaplinsky,TV presenter,31,0,Brendan Cole,1,1st/8,12,37,26,396,33
Quentin Willson,TV presenter,47,0,Hazel Newberry,2,10th/10,1,8,8,8,8
Carol Vorderman,TV presenter,43,0,Paul Killick,2,9th/10,2,22,20,42,21
Esther Rantzen,TV presenter,64,0,Anton du Beke,2,8th/10,3,24,16,56,18.66
Diarmuid Gavin,Garden designer,40,0,Nicole Cutler,2,7th/10,4,17,12,55,13.75
Sarah Manners,Actress,29,0,Brendan Cole,2,6th/10,5,31,23,134,26.8
Roger Black,Olympic sprinter,38,0,Camilla Dallerup,2,5th/10,7,29,19,165,23.57
Aled Jones,Singer & TV presenter,33,0,Lilia Kopylova,2,4th/10,9,32,25,256,28.44
Julian Clary,Comedian,45,0,Erin Boag,2,3rd/10,11,29,19,269,24.45
Denise Lewis,Olympic heptathlete,32,1,Ian Waite,2,2nd/10,11,38,25,359,32.64
Jill Halfpenny,Actress,29,0,Darren Bennett,2,1st/10,11,40,27,370,33.64
Siobhan Hayes,Actress,30,0,Matthew Cutler,3,12th/12,1,15,15,15,15
Jaye Jacobs,Actress,23,1,Andrew Cuerden,3,11th/12,2,25,21,46,23
Gloria Hunniford,TV & radio presenter,65,0,Darren Bennett,3,10th/12,3,22,17,58,19.33
Fiona Phillips,TV presenter,44,0,Brendan Cole,3,9th/12,4,20,11,60,15
Dennis Taylor,Snooker player,56,0,Izabella Hannah,3,8th/12,5,23,15,98,19.6
Will Thorp,Actor,28,0,Hanna Haarala,3,7th/12,6,34,18,157,26.16
Bill Turnbull,TV presenter,49,0,Karen Hardy,3,6th/12,7,29,17,166,23.71
Patsy Palmer,Actress,33,0,Anton du Beke,3,5th/12,9,34,19,249,27.67
James Martin,Chef & TV presenter,33,0,Camilla Dallerup,3,4th/12,11,33,20,292,26.54
