"Unless indicated otherwise, individual judge's scores in the charts below (given in round brackets) are listed in this order from left to right: Craig Revel Horwood, Darcey Bussell, Shirley Ballas, Bruno Tonioli.",,,,
,,,,
Launch show,,,,
,,,,
"Musical guests: Nile Rodgers & Chic feat. Craig David & Stefflon Don—""Sober""[12]",,,,
,,,,
Week 1,,,,
,,,,
Running order,,,,
,,,,
Couple,Score[13],Dance[14],Music[14],
Danny & Amy,"27 (6,7,7,7)",Foxtrot,"""Top Cat Theme""—Hoyt Curtin",
Kate & Aljaž,"20 (4,6,4,6)",Cha-Cha-Cha,"""Kiss""—Art of Noise feat. Tom Jones",
Lauren & AJ,"25 (6,6,6,7)",Waltz,"""Kissing You""—Des'ree",
Seann & Katya,"18 (3,5,4,6)",Tango,"""SexyBack""—Justin Timberlake",
Vick & Graziano,"18 (3,5,4,6)",Jive,"""Feel It Still""—Portugal. The Man",
Susannah & Anton,"12 (1,4,3,4)",Samba,"""Tico Tico""—Carmen Miranda",
Charles & Karen,"25 (6,6,6,7)",Cha-Cha-Cha,"""Ain't No Love (Ain't No Use)""—Sub Sub feat. Melanie Williams",
Ashley & Pasha,"29 (7,8,7,7)",Viennese Waltz,"""Perfect""—Ed Sheeran feat. Beyoncé",
Dr. Ranj & Janette,"27 (6,6,8,7)",Cha-Cha-Cha,"""How Will I Know""—Whitney Houston",
Katie & Gorka,"17 (4,4,4,5)",Waltz,"""When We Were Young""—Adele",
Graeme & Oti,"22 (5,6,6,5)",Samba,"""Soul Limbo""—Booker T. & the M.G.'s",
Stacey & Kevin,"24 (6,6,6,6)",Quickstep,"""Dancing""—Kylie Minogue",
Lee & Nadiya,"22 (4,6,6,6)",Waltz,"""Take It to the Limit""—Eagles",
Joe & Dianne,"27 (6,7,7,7)",Jive,"""Take On Me""—A-ha",
Faye & Giovanni,"29 (7,8,7,7)",Cha-Cha-Cha,"""Lullaby""—Sigala & Paloma Faith",
,,,,
Week 2,,,,
,,,,
"Musical guest: George Ezra—""Shotgun""",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[15],Dance[16],Music[16],Result
Stacey & Kevin,"20 (4,5,5,6)",Cha-Cha-Cha,"""Came Here for Love""—Sigala & Ella Eyre",Safe
Charles & Karen,"25 (5,6,7,7)",Quickstep,"""Sir Duke""—Stevie Wonder",Safe
Katie & Gorka,"13 (2,4,3,4)",Paso Doble,"""Confident""—Demi Lovato",Safe
Graeme & Oti,"15 (3,5,3,4)",American Smooth,"""Try a Little Tenderness""—Otis Redding",Safe
Kate & Aljaž,"27 (6,7,7,7)",Tango,"""No Roots""—Alice Merton",Safe
Joe & Dianne,"31 (7,8,8,8)",Charleston,"""Cotton Eye Joe""—Rednex",Safe
Susannah & Anton,"12 (1,4,4,3)",Foxtrot,"""They Can't Take That Away from Me""—Frank Sinatra & Natalie Cole",Eliminated
Lee & Nadiya,"26 (6,7,6,7)",Jive,"""Blue Suede Shoes""—Elvis Presley",Bottom two
Danny & Amy,"28 (7,7,7,7)",Cha-Cha-Cha,"""Beggin'""—Madcon",Safe
Vick & Graziano,"27 (7,7,6,7)",Waltz,"""Somewhere""—from West Side Story",Safe
Dr. Ranj & Janette,"24 (5,6,7,6)",Salsa,"""Fireball""—Pitbull feat. John Ryan",Safe
Faye & Giovanni,"31 (8,8,7,8)",Viennese Waltz,"""It's a Man's Man's Man's World""—Seal",Safe
Lauren & AJ,"22 (5,6,5,6)",Charleston,"""New Rules""—Postmodern Jukebox",Safe
Seann & Katya,"15 (2,4,4,5)",Jive,"""I'm Still Standing""—Elton John",Safe
Ashley & Pasha,"32 (8,8,7,9)",Cha-Cha-Cha,"""Boogie Wonderland""—Earth, Wind & Fire with The Emotions",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Lee & Nadiya,,,,
Bussell: Lee & Nadiya,,,,
Tonioli: Lee & Nadiya,,,,
"Ballas: Did not vote, but would have voted to save Lee & Nadiya",,,,
,,,,
Week 3: Movie Week,,,,
,,,,
"Musical guest: Gladys Knight—""Licence to Kill""",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[17],Dance[18],Music[18],Result
Vick & Graziano,"27 (6,7,7,7)",Salsa,"""Take a Chance on Me""—from Mamma Mia!",Safe
Dr. Ranj & Janette,"20 (4,5,5,6)",Quickstep,"""Prince Ali""—from Aladdin",Safe
Lee & Nadiya,"19 (3,5,5,6)",Cha-Cha-Cha,"""The Power of Love""—from Back to the Future",Eliminated
Kate & Aljaž,"29 (6,7,8,8)",Foxtrot,"""Why Don't You Do Right?""—from Who Framed Roger Rabbit",Safe
