"Unless indicated otherwise, individual judges scores in the charts below (given in parentheses) are listed in this order from left to right: Craig Revel Horwood, Motsi Mabuse, Shirley Ballas, Bruno Tonioli.",,,,
,,,,
Launch show,,,,
,,,,
"Musical guests: Kylie Minogue—""Love at First Sight""/""Better the Devil You Know""/""All the Lovers""/""Dancing""; Mark Ronson feat. Yebba—""Don't Leave Me Lonely""[19]",,,,
,,,,
Week 1,,,,
,,,,
Running order,,,,
,,,,
Couple,Score[20],Dance,Music[21],
Alex & Neil,"21 (5,5,5,6)",Quickstep,"""I Get a Kick Out of You""—Frank Sinatra",
Chris & Karen,"13 (3,4,3,3)",Cha-Cha-Cha,"""Juice""—Lizzo",
Catherine & Johannes,"20 (5,5,5,5)",Viennese Waltz,"""I Got You Babe""—Sonny & Cher",
Saffron & AJ,"27 (6,7,7,7)",Tango,"""Lips Are Movin""—Meghan Trainor",
Mike & Katya,"22 (4,6,6,6)",Jive,"""Do You Love Me""—The Contours",
Emma W. & Aljaž,"19 (5,5,4,5)",Cha-Cha-Cha,"""She's a Lady""—Tom Jones",
James & Luba,"11 (2,3,3,3)",Tango,"""Gold""—Spandau Ballet",
Kelvin & Oti,"32 (8,8,8,8)",Samba,"""La Vida Es Un Carnaval""—Celia Cruz",
David & Nadiya,"17 (3,4,5,5)",Foxtrot,"""Three Lions""—Baddiel, Skinner & Lightning Seeds",
Michelle & Giovanni,"30 (8,8,7,7)",Cha-Cha-Cha,"""So Emotional""—Whitney Houston",
Dev & Dianne,"30 (7,7,8,8)",Foxtrot,"""Build Me Up Buttercup""—The Foundations",
Anneka & Kevin,"14 (3,4,3,4)",Cha-Cha-Cha,"""Gloria""—Laura Branigan",
Will & Janette,"26 (5,7,7,7)",Quickstep,"""Pencil Full of Lead""—Paolo Nutini",
Karim & Amy,"31 (8,8,7,8)",Cha-Cha-Cha,"""If I Can't Have You""—Shawn Mendes",
Emma B. & Anton,"23 (6,6,5,6)",Jive,"""Honey, Honey""—ABBA",
,,,,
Week 2,,,,
,,,,
"Musical guest: Lewis Capaldi—""Someone You Loved""",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[22],Dance,Music[23],Result
Saffron & AJ,"23 (5,5,6,7)",Cha-Cha-Cha,"""One Touch""—Jess Glynne & Jax Jones",Safe
Anneka & Kevin,"19 (4,5,5,5)",Waltz,"""Run to You""—Whitney Houston",Safe
Dev & Dianne,"27 (6,7,7,7)",Jive,"""Dance with Me Tonight""—Olly Murs",Safe
Emma W. & Aljaž,"22 (4,6,6,6)",Tango,"""Sucker""—Jonas Brothers",Safe
Chris & Karen,"26 (5,7,7,7)",Charleston,"""Out of Our Heads""—Take That",Safe
Emma B. & Anton,"24 (6,6,6,6)",Foxtrot,"""Sunshine of Your Love""—Ella Fitzgerald & Tommy Flanagan",Safe
James & Luba,"13 (3,3,3,4)",Jive,"""Tutti Frutti""—Little Richard",Eliminated
Catherine & Johannes,"19 (4,5,5,5)",Samba,"""Let the Groove Get In""—Justin Timberlake",Safe
Michelle & Giovanni,"32 (8,8,8,8)",Viennese Waltz,"""That's Amore""—Dean Martin",Safe
David & Nadiya,"10 (2,3,2,3)",Paso Doble,"""España cañí""—Pascual Marquina Narro",Bottom two
Karim & Amy,"32 (8,8,8,8)",Foxtrot,"""The Way You Look Tonight""—Frank Sinatra",Safe
Mike & Katya,"14 (3,4,3,4)",American Smooth,"""Rhinestone Cowboy""—Glen Campbell",Safe
Alex & Neil,"22 (4,6,6,6)",Cha-Cha-Cha,"""What I Did for Love""—David Guetta feat. Emeli Sandé",Safe
Kelvin & Oti,"28 (7,7,7,7)",Waltz,"""What the World Needs Now Is Love""—Burt Bacharach",Safe
Will & Janette,"24 (6,6,6,6)",Salsa,"""1-2-3""—Gloria Estefan & Miami Sound Machine",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: David & Nadiya,,,,
Mabuse: David & Nadiya,,,,
Tonioli: David & Nadiya,,,,
"Ballas: Did not vote, but would have voted to save David & Nadiya",,,,
,,,,
Week 3: Movie Week,,,,
,,,,
"Musical guest: Harry Connick Jr.—""Anything Goes""",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[24],Dance,Music[25],Result
Michelle & Giovanni,"35 (8,9,9,9)",Quickstep,"""Cabaret""—from Cabaret",Safe
